latitude,elevation,name,url,photo,hasMap,longitude
47° 3′ 51″ N,3392,Hintere Gubachspitze,https://de.wikipedia.org/wiki/Hintere_Gubachspitze,https://de.wikipedia.org/wiki/Datei:Umbaltal_065.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Hintere_Gubachspitze&language=de&params=47.064075_N_12.257902_E_dim:5000_region:AT-7_type:mountain(3392)&title=Hintere+Gubachspitze,12° 15′ 28″ O
47° 37′ 14″ N,1773,Unterberghorn,https://de.wikipedia.org/wiki/Hefferthorn,https://de.wikipedia.org/wiki/Datei:Unterberghorn.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Unterberghorn&language=de&params=47.620555555556_N_12.436111111111_E_dim:5000_region:AT-7_type:mountain(1773),12° 26′ 10″ O
47° 16′ 53″ N,1943,Hechenberg,https://de.wikipedia.org/wiki/Hechenberg,https://de.wikipedia.org/wiki/Datei:Martinswand_nah.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Hechenberg&language=de&params=47.281388888889_N_11.302222222222_E_dim:5000_region:AT-7_type:mountain(1943)&title=Kirchbergk%C3%B6pfl,11° 18′ 8″ O
47° 18′ 11″ N,2599,Hintere Brandjochspitze,https://de.wikipedia.org/wiki/Hintere_Brandjochspitze,"https://de.wikipedia.org/wiki/Datei:Brandjoch,_Hohe_Warte,_Solsteine.JPG",https://tools.wmflabs.org/geohack/geohack.php?pagename=Hintere_Brandjochspitze&language=de&params=47.303055555556_N_11.339166666667_E_dim:5000_region:AT-7_type:mountain(2599),11° 20′ 21″ O
47° 8′ 10″ N,2625,Haupmerkopf,https://de.wikipedia.org/wiki/Haupmerkopf,https://de.wikipedia.org/wiki/Datei:Granatspitze_und_Glockenkogel.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Haupmerkopf&language=de&params=47.136122_N_12.566477_E_dim:5000_region:AT-7_type:mountain(2625),12° 33′ 59″ O
47° 25′ 42″ N,2078,Henne (Kitzbüheler Alpen),https://de.wikipedia.org/wiki/Henne_(Kitzb%C3%BCheler_Alpen),https://de.wikipedia.org/wiki/Datei:Henne-Wildsee.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Henne_(Kitzb%C3%BCheler_Alpen)&language=de&params=47.428333333333_N_12.543333333333_E_dim:5000_region:AT-7_type:mountain(2078)&title=Henne,12° 32′ 36″ O
47° 18′ 50″ N,2639,Heiterwand,https://de.wikipedia.org/wiki/Heiterwand,https://de.wikipedia.org/wiki/Datei:HeiterwandNord.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Heiterwand&language=de&params=47.313888888889_N_10.732777777778_E_dim:5000_region:AT-7_type:mountain(2639),10° 43′ 58″ O
47° 1′ 16″ N,3035,Hexenkopf,https://de.wikipedia.org/wiki/Hexenkopf,https://de.wikipedia.org/wiki/Datei:Berg-Hexenkopf.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Hexenkopf&language=de&params=47.021111111111_N_10.468888888889_E_dim:5000_region:AT-7_type:mountain(3035)&title=Hexenkopf,10° 28′ 8″ O
46° 42′ 54″ N,2433,Helm (Berg),https://de.wikipedia.org/wiki/Helm_(Berg),https://de.wikipedia.org/wiki/Datei:Monte_elmo3.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Helm_(Berg)&language=de&params=46.715_N_12.387222222222_E_dim:5000_region:AT-7/IT-BZ_type:mountain(2433)&title=Helm,12° 23′ 14″ O
47° 18′ 35″ N,2472,Hermannskarspitze,https://de.wikipedia.org/wiki/Hermannskarspitze,https://de.wikipedia.org/wiki/Datei:Hermannskarspitze.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Hermannskarspitze&language=de&params=47.309722222222_N_10.376388888889_E_dim:5000_region:AT-7_type:mountain(2472),10° 22′ 35″ O
46° 51′ 52″ N,3042,Nauderer Hennesiglspitze,https://de.wikipedia.org/wiki/Nauderer_Hennesiglspitze,https://de.wikipedia.org/wiki/Datei:NaudererHennesiglspitzeFromNE.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Nauderer_Hennesiglspitze&language=de&params=46.864444444444_N_10.624166666667_E_dim:5000_region:AT-7/IT-BZ_type:mountain(3042)&title=Nauderer+Hennesiglspitze,10° 37′ 27″ O
47° 12′ 43″ N,2596,Haneburger,https://de.wikipedia.org/wiki/Haneburger,https://de.wikipedia.org/wiki/Datei:Haneburger.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Haneburger&language=de&params=47.21202_N_11.584956_E_dim:5000_region:AT-7_type:mountain(2596),11° 35′ 6″ O
47° 29′ 31″ N,1553,Hartkaiser,https://de.wikipedia.org/wiki/Hartkaiser,https://de.wikipedia.org/wiki/Datei:Hartkaiser-ellmau.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Hartkaiser&language=de&params=47.491944444444_N_12.271666666667_E_dim:5000_region:AT-7_type:mountain(1553),12° 16′ 18″ O
47° 35′ 29″ N,1862,Blauberge,https://de.wikipedia.org/wiki/Halserspitz,https://de.wikipedia.org/wiki/Datei:Halserspitz_Blauberg.jpg,https://tools.wmflabs.org/osm4wiki/cgi-bin/wiki/wiki-osm.pl?project=de&article=Blauberge,11° 46′ 53″ O
47° 19′ 9″ N,1966,Haller Zunterkopf,https://de.wikipedia.org/wiki/Haller_Zunterkopf,https://de.wikipedia.org/wiki/Datei:Haller_Zunterkopf.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Haller_Zunterkopf&language=de&params=47.319133_N_11.484564_E_dim:5000_region:AT-7_type:mountain(1966)&title=Haller+Zunterkopf,11° 29′ 4″ O
47° 10′ 19″ N,2975,Haidenspitze,https://de.wikipedia.org/wiki/Haidenspitze,https://de.wikipedia.org/wiki/Datei:Haidenspitze_N.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Haidenspitze&language=de&params=47.171944444444_N_11.066944444444_E_dim:5000_region:AT-7_type:mountain(2975),11° 4′ 1″ O
47° 5′ 17″ N,3100,Luckenkogel,https://de.wikipedia.org/wiki/Luckenkogel,https://de.wikipedia.org/wiki/Datei:Luckenkogel_%C3%84u%C3%9Ferer_Knappentr%C3%B6ger_vom_Muntanitz.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Luckenkogel&language=de&params=47.08814_N_12.59087_E_dim:5000_region:AT-7_type:mountain(3100)&title=Luckenkogel,12° 35′ 27″ O
47° 21′ 14″ N,2471,Loreakopf,https://de.wikipedia.org/wiki/Loreakopf,https://de.wikipedia.org/wiki/Datei:Loreakopf.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Loreakopf&language=de&params=47.353888888889_N_10.771388888889_E_dim:5000_region:AT-7_type:mountain(2471),10° 46′ 17″ O
47° 1′ 57″ N,3379,Großer Löffler,https://de.wikipedia.org/wiki/Gro%C3%9Fer_L%C3%B6ffler,https://de.wikipedia.org/wiki/Datei:Grosser_Loeffler_von_Osten.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Gro%C3%9Fer_L%C3%B6ffler&language=de&params=47.0325_N_11.915555555556_E_dim:5000_region:AT-7/IT-BZ_type:mountain(3379),11° 54′ 56″ O
46° 57′ 33″ N,3324,Löcherkogel,https://de.wikipedia.org/wiki/L%C3%B6cherkogel,https://de.wikipedia.org/wiki/Datei:L%C3%B6cherk1.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=L%C3%B6cherkogel&language=de&params=46.959027777778_N_10.791111111111_E_dim:5000_region:AT-7_type:mountain(3324),10° 47′ 28″ O
47° 9′ 13″ N,2831,Lizumer Sonnenspitze,https://de.wikipedia.org/wiki/Lizumer_Sonnenspitze,https://de.wikipedia.org/wiki/Datei:Lizumer_Sonnenspitze_N.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Lizumer_Sonnenspitze&language=de&params=47.153611111111_N_11.631388888889_E_dim:5000_region:AT-7_type:mountain(2831),11° 37′ 53″ O
47° 27′ 59″ N,2068,Litnisschrofen,https://de.wikipedia.org/wiki/Litnisschrofen,https://de.wikipedia.org/wiki/Datei:Litnisschrofen_Northface02.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Litnisschrofen&language=de&params=47.466388888889_N_10.563055555556_E_dim:5000_region:AT-7_type:mountain(2068),10° 33′ 47″ O
47° 25′ 32″ N,2372,Linderspitzen,https://de.wikipedia.org/wiki/Linderspitzen,https://de.wikipedia.org/wiki/Datei:Suedliche_Linderspitze.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Linderspitzen&language=de&params=47.42546_N_11.2909_E_dim:5000_region:AT-7/DE-BY_type:mountain(2372),11° 17′ 27″ O
46° 49′ 13″ N,3399,Liebenerspitze,https://de.wikipedia.org/wiki/Liebenerspitze,https://de.wikipedia.org/wiki/Datei:Liebener_Spitze_SW.JPG,https://tools.wmflabs.org/geohack/geohack.php?pagename=Liebenerspitze&language=de&params=46.82023_N_11.07486_E_dim:5000_region:AT-7/IT-BZ_type:mountain(3399)&title=Liebenerspitze,11° 4′ 29″ O
47° 16′ 50″ N,2651,Hohes Licht,https://de.wikipedia.org/wiki/Hohes_Licht,https://de.wikipedia.org/wiki/Datei:Hohoes_Licht02.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Hohes_Licht&language=de&params=47.280555555556_N_10.276111111111_E_dim:5000_region:AT-7_type:mountain(2651),10° 16′ 34″ O
47° 27′ 33″ N,1688,Lerchkogel,https://de.wikipedia.org/wiki/Lerchkogel,https://de.wikipedia.org/wiki/Datei:Lerchkogel.jpg,https://tools.wmflabs.org/geohack/geohack.php?pagename=Lerchkogel&language=de&params=47.45925_N_11.41187_E_dim:5000_region:AT-7_type:mountain(1688),11° 24′ 43″ O
46° 56′ 22″ N,3236,Lenkstein,https://de.wikipedia.org/wiki/Lenkstein,"https://de.wikipedia.org/wiki/Datei:Gipfel_lenkstein,_2009-07-22.JPG",https://tools.wmflabs.org/geohack/geohack.php?pagename=Lenkstein&language=de&params=46.939426_N_12.166534_E_dim:5000_region:AT-7_type:mountain(3236),12° 10′ 0″ O
